IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,Value,NumericValue,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,Title,ParentDimension,ParentCode,ParentTitle
MALARIA_1STLINE_TREATED,COUNTRY,CPV,YEAR,2019,40,40.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Cabo Verde,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,CPV,YEAR,2018,0,0.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Cabo Verde,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ETH,YEAR,2019,1 015 792,1015792.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Ethiopia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ETH,YEAR,2018,748 601,748601.0,2022-02-10T13:20:17Z,2018,01-01-18,31-12-18,Ethiopia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,ETH,YEAR,2020,1 458 804,1458804.0,2022-02-10T13:20:17Z,2020,01-01-20,31-12-20,Ethiopia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GIN,YEAR,2020,1 831 203,1831203.0,2022-02-10T13:20:16Z,2020,01-01-20,31-12-20,Guinea,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GIN,YEAR,2019,1 696 515,1696515.0,2022-02-10T13:20:17Z,2019,01-01-19,31-12-19,Guinea,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GIN,YEAR,2018,1 546 406,1546406.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Guinea,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GMB,YEAR,2018,90 622,90622.0,2022-02-10T13:20:16Z,2018,01-01-18,31-12-18,Gambia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GMB,YEAR,2020,72 300,72300.0,2022-02-10T13:20:18Z,2020,01-01-20,31-12-20,Gambia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GMB,YEAR,2019,53 386,53386.0,2022-02-10T13:20:18Z,2019,01-01-19,31-12-19,Gambia,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GNB,YEAR,2019,155 848,155848.0,2022-02-10T13:20:16Z,2019,01-01-19,31-12-19,Guinea-Bissau,REGION,AFR,Africa
MALARIA_1STLINE_TREATED,COUNTRY,GNB,YEAR,2018,162 773,162773.0,2022-02-10T13:20:18Z,2018,01-01-18,31-12-18,Guinea-Bissau,REGION,AFR,Africa
